04.07.00;["Altra resezione o asportazione di nervi cranici e periferici, NAS"]
04.07.11;["Rimozione di innesto di nervo"]
04.07.20;["Altra resezione o asportazione di nervi intracranici"]
04.07.30;["Altra resezione o asportazione del tratto extracranico di nervi cranici"]
04.07.40;["Altra resezione o asportazione del plesso brachiale"]
04.08.0;["Dettaglio della sottocategoria 04.08"]
04.08.00;["Fenestrazione della guaina del nervo ottico, NAS"]
04.11.40;["Biopsia chiusa [percutanea] [agobiopsia] di nervi delle estremità inferiori"];Plesso lombosacrale, inguine e pavimento pelvico
04.12.32;["Biopsia a cielo aperto di nervi del braccio e della mano"]
04.12.35;["Biopsia a cielo aperto di nervi delle estremità inferiori"]
04.2X.31;["Distruzione di nervi della spalla"]
04.3X;["Suture di nervi cranici e periferici"]
04.42;["Altra decompressione di nervi cranici"]
04.72;["Anastomosi accessorio-facciale"]
04.79.19;["Innesto e trasposizione del tratto extracranico di nervi cranici con sutura epineurale, altro"]
04.79.21;["Innesto e trasposizione del tratto extracranico di nervi cranici con sutura interfascicolare"]
04.79.22;["Innesto e trasposizione del plesso brachiale con sutura interfascicolare"]
04.79.24;["Innesto e trasposizione di nervi del braccio e della mano con sutura interfascicolare"]
04.79.25;["Innesto e trasposizione di nervi del tronco e delle estremità inferiore con sutura interfascicolare"]
04.79.29;["Innesto e trasposizione di nervo con sutura interfascicolare, altro"]
04.81;["Iniezione di anestetico in nervo periferico per analgesia"]
04.81.00;["Iniezione di anestetico in nervo periferico per analgesia, NAS"]
04.81.10;["Iniezione / infusione di anestetico in nervo periferico per terapia del dolore, NAS"]
04.81.11;["Iniezione / infusione di anestetico in nervo periferico per terapia del dolore senza procedura per immagini (imaging)"]
04.81.12;["Iniezione / infusione di anestetico in nervo periferico per terapia del dolore con imaging"]
04.81.19;["Iniezione / infusione di anestetico in nervo periferico per terapia del dolore, altro"]
04.81.2;["Iniezione di medicamento in radici nervose e nervi vicini alla colonna vertebrale per terapia del dolore"];Con imaging: con procedura per immagini Incl.: tomografia computerizzata, fluoroscopia o ecografia.
04.81.20;["Iniezione di medicamento in radici nervose e nervi vicini alla colonna vertebrale per terapia del dolore, NAS"]
04.81.21;["Iniezione di medicamento per terapia del dolore nella colonna cervicale, senza imaging"]
04.81.22;["Iniezione di medicamento per terapia del dolore nella colonna cervicale, con imaging"]
04.81.24;["Iniezione di medicamento per terapia del dolore nella colonna lombare, con imaging"]
04.9;["Altri interventi sui nervi cranici e periferici"]
04.93.0;["Dettaglio della sottocategoria 04.93"]
06.13;["Biopsia delle paratiroidi"]
07.2;["Surrenectomia parziale"]
07.9;["Altri interventi sul timo"]
03.59.10;["Altri interventi di riparazione o plastica sulle strutture del canale vertebrale, Chiusura di diastematomielia"]
03.59.12;["Altri interventi di riparazione o plastica sulle strutture del canale vertebrale, Chiusura di fistola spinale"]
03.59.13;["Altri interventi di riparazione o plastica sulle strutture del canale vertebrale, plastica durale spinale"]
03.59.99;["Altri interventi di riparazione o plastica sulle strutture del canale vertebrale, altro"]
03.6;["Separazione di aderenze del midollo spinale e delle radici dei nervi"]
03.71;["Shunt spinale subaracnoideo-peritoneale"]
03.79;["Altro shunt spinale"];Anastomosi pleurotecale;Anastomosi salpingotecale;Shunt lombo-subaracnoideo, NAS
03.8;["Iniezione di farmaci citotossici nel canale vertebrale"]
03.9;["Altri interventi sul midollo e sulle strutture del canale vertebrale"]
03.90.00;["Inserzione di catetere nel canale vertebrale per infusione di sostanze terapeutiche o palliative, NAS"]
03.90.10;["Inserzione o sostituzione di catetere per infusione intratecale ed epidurale: catetere temporaneo per infusione di prova"]
03.90.11;["Inserzione o sostituzione di catetere per infusione intratecale ed epidurale: catetere permanente per infusione continua"]
03.90.99;["Inserzione di catetere nel canale vertebrale per infusione di sostanze terapeutiche o palliative, altro"]
03.91;["Iniezione di anestetico nel canale vertebrale per analgesia"]
03.92;["Iniezione di altri farmaci nel canale vertebrale"];Iniezione intratecale di steroidi;Perfusione subaracnoidea con soluzione salina refrigerata
03.92.00;["Iniezione di altri farmaci nel canale vertebrale, NAS"]
03.92.10;["Applicazione intratecale di medicamenti"]
03.92.99;["Iniezione di altri farmaci nel canale vertebrale, altro"]
03.93;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore spinale"];Ogni inserzione di generatore d'impulsi di un neurostimolatore (86.94-86.98)
03.93.00;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore spinale, NAS"]
03.93.10;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore epidurale temporaneo, sistema a elettrodo singolo, stimolazione di prova"]
03.93.11;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore epidurale temporaneo, sistema a più elettrodi, stimolazione di prova"]
03.93.20;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore epidurale permanente, sistema a elettrodo singolo, stimolazione continua, percutanea"]
03.93.21;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore epidurale permanente, sistema a più elettrodi, stimolazione continua, percutanea"]
03.93.22;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore epidurale permanente, sistema a elettrodo singolo, stimolazione continua, chirurgica a cielo aperto"]
03.93.23;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore epidurale permanente, sistema a più elettrodi, stimolazione continua, chirurgica a cielo aperto"]
03.93.30;["Inserzione o sostituzione di elettrodo subdurale per stimolazione della radice anteriore"]
03.93.99;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore spinale, altro"]
03.94;["Rimozione di elettrodo(i) di neurostimolatore spinale"];Ogni rimozione di generatore d'impulsi di un neurostimolatore (86.05)
03.94.0;["Dettaglio della sottocategoria 03.94"]
03.94.00;["Rimozione di elettrodo(i) di neurostimolatore spinale, NAS"]
03.94.10;["Rimozione di elettrodo(i) di neurostimolatore epidurale, elettrodo cilindrico, sistema a elettrodo singolo"]
03.94.11;["Rimozione di elettrodo(i) di neurostimolatore epidurale, elettrodo cilindrico, sistema a più elettrodi"]
03.94.20;["Rimozione di elettrodo(i) di neurostimolatore epidurale, elettrodo piatto, sistema a elettrodo singolo"]
03.94.21;["Rimozione di elettrodo(i) di neurostimolatore epidurale, elettrodo piatto, sistema a più elettrodi"]
03.94.30;["Rimozione di elettrodo(i) di neurostimulatore subdurale per stimulazione della radice anteriore"]
03.94.99;["Rimozione di elettrodo(i) di neurostimolatore spinale, altro"]
03.96;["Denervazione percutanea della faccetta articolare [posteriore]"]
03.96.0;["Dettaglio della sottocategoria 03.96"]
03.96.00;["Denervazione percutanea di faccetta articolare, NAS"]
03.96.10;["Denervazione percutanea di faccetta articolare, mediante incisione"]
03.96.11;["Denervazione percutanea di faccetta articolare, mediante termocoagulazione"]
03.96.12;["Denervazione percutanea di faccetta articolare, mediante criodenervazione"]
03.96.99;["Denervazione percutanea di faccetta articolare, altro"]
03.97;["Revisione di shunt spinale"]
03.98;["Rimozione di shunt spinale"]
03.99;["Altri interventi sul midollo spinale e sulle strutture del canale vertebrale"]
03.99.0;["Dettaglio della sottocategoria 03.99"]
03.99.00;["Altri interventi sul midollo spinale e sulle strutture del canale vertebrale, NAS"]
03.99.10;["Interventi su vasi sanguigni intraspinali (es. legatura, distruzione, resezione)"]
03.99.19;["Altri interventi su vasi sanguigni intraspinali"]
03.99.20;["Interventi sul sistema liquorale spinale, Inserzione di serbatoio sottocutaneo nel sistema liquorale spinale"]
03.99.21;["Interventi sul sistema liquorale spinale, Revisione di serbatoio sottocutaneo, catetere o pompa per infusione intratecale ed epidurale di medicamenti"]
03.99.22;["Interventi sul sistema liquorale spinale, Rimozione di serbatoio sottocutaneo dal sistema liquorale spinale"]
03.99.29;["Altri interventi sul sistema liquorale spinale"]
03.99.30;["Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore epidurale, elettrodo cilindrico, sistema a elettrodo singolo"]
03.99.31;["Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore epidurale, elettrodo cilindrico, sistema a più elettrodi"]
03.99.40;["Revisione (senza sostituzione) di catetere per infusione intratecale ed epidurale"]
03.99.41;["Rimozione di catetere per infusione intratecale ed epidurale:"]
04;["Interventi sui nervi cranici e periferici"]
04.07;["Altra resezione o asportazione di nervi cranici e periferici"];Asportazione di neuroma periferico [di Morton];Curettage di nervo periferico (o relativa lesione);Debribement di nervo periferico;Rezezione di nervo periferico
00.95.3;["Educazione del paziente e dei familiari per la gestione di una stomia"]
00.95.30;["Educazione del paziente e dei familiari per la gestione di una stomia, fino a 2 trattamenti"]
00.95.31;["Educazione del paziente e dei familiari per la gestione di una stomia, da 3 a 5 trattamenti"]
00.95.32;["Educazione del paziente e dei familiari per la gestione di una stomia, da 6 a 10 trattamenti"]
00.95.39;["Educazione del paziente e dei familiari per la gestione di una stomia, 10 e più trattamenti"]
00.95.99;["Educazione del paziente e del personale di riferimento, altro"]
00.97.10;["Riprogrammazione di neurostimolatore impiantato per stimolazione centrale"]
00.97.20;["Riprogrammazione di neurostimolatore impiantato per stimolazione spinale"];Adeguamento farmacologico
00.97.30;["Riprogrammazione di neurostimolatore impiantato per stimolazione periferica"];Adeguamento farmacologico
00.97.99;["Riprogrammazione di neurostimolatore impiantato, altro"]
00.98;["Ricarica e programmazione di pompa di infusione totalmente impiantabile programmabile"]
00.98.00;["Ricarica e programmazione di pompa di infusione totalmente impiantabile programmabile, NAS"]
00.98.10;["Ricarica e programmazione di pompa di infusione totalmente impiantabile programmabile con flusso costante su profilo giornaliero variabile"]
00.98.11;["Ricarica e programmazione di pompa di infusione totalmente impiantabile programmabile con flusso costante per applicazione intratecale e intraventricolare di medicamenti"]
00.98.12;["Adeguamento postoperatorio della dose intratecale e intraventricolare del medicamento"]
00.98.99;["Ricarica e programmazione di pompa di infusione totalmente impiantabile programmabile, altro"]
00.99;["Altri interventi speciali"];Rispettivi interventi sugli organi specifici.
00.99.0;["Dettaglio della sottocategoria 00.99"]
00.99.00;["Altri interventi speciali, NAS"]
00.99.4;["Procedure e interventi chirurgici mini-invasivi attraverso orifizi corporei naturali (NOTES)"]
00.99.40;["Tecnica mini-invasiva"];L'intervento chirurgico, a condizione che la procedura mini-invasiva non sia già inclusa nel codice.
00.99.41;["Interventi chirurgici attraverso orifizi corporei naturali (NOTES), via d'accesso transorale"]
00.99.42;["Interventi chirurgici attraverso orifizi corporei naturali (NOTES), via d'accesso transgastrica"]
00.99.43;["Interventi chirurgici attraverso orifizi corporei naturali (NOTES), via d'accesso transvaginale"]
00.99.44;["Interventi chirurgici attraverso orifizi corporei naturali (NOTES), via d'accesso transcolica"]
00.99.45;["Interventi chirurgici attraverso orifizi corporei naturali (NOTES), via d'accesso transvescicale"]
00.99.50;["Uso di robot chirurgico"]
00.99.60;["Uso di sistema di navigazione"]
00.99.70;["Procedure terapeutiche assistite mediante fluorescenza"]
00.99.80;["Terapia ibrida"];Procedimento combinato nel quadro di interventi di chirurgia vascolare o cardiochirurgia in cui nella stessa seduta si combinano una procedura percutanea-transluminale e una a cielo aperto.
00.99.9;["Codici supplementari per procedure radiologiche"]
00.99.90;["Analisi computerizzata di dati di immagini con valutazione 3D."]
00.99.92;["Impiego intraoperatorio della procedura"];Intervento chirurgico e uso di sistema di navigazione
00.99.99;["Altri interventi speciali, altro"]
01;["Incisioni ed asportazioni di lesioni del cranio, del cervello e delle meningi cerebrali"]
01.0;["Puntura transcranica (trapanazione del cranio)"]
01.01;["Puntura delle cisterne"];Punzione suboccipitale
01.02;["Puntura ventricolare mediante dispositivo (catetere) già impiantato"];Puntura di shunt ventricolare
01.09;["Altra puntura del compartimento intracranico"];Aspirazione cranica, NAS;Aspirazione dallo spazio sotto-durale;Aspirazione dallo spazio subaracnoideo;Puntura della fontanella anteriore;Puntura sotto-durale (attraverso la fontanella)
01.1;["Procedure diagnostiche sul cranio, sul cervello e sulle meningi cerebrali"]
01.10;["Monitoraggio della pressione intracranica"];Craniotomia della calotta quale approccio chirurgico (01.24.2);Impianto o sostituzione di sonda di misura intracranica (02.99.30)
01.11;["Biopsia chiusa [percutanea] [agobiopsia] delle meningi cerebrali"];Mediante foro di trapanazione
01.11.0;["Dettaglio della sottocategoria 01.11"]
01.11.00;["Biopsia chiusa [percutanea] [agobiopsia] delle meningi cerebrali, NAS"]
01.11.10;["Biopsia stereotassica chiusa [percutanea] [agobiopsia] delle meningi cerebrali"];Applicazione di cornice stereotassica (al capo) (93.59)
01.11.99;["Biopsia chiusa [percutanea] [agobiopsia] delle meningi cerebrali, altro"]
01.12;["Biopsia mediante craniotomia (a cielo aperto) delle meningi cerebrali"]
01.12.00;["Biopsia mediante craniotomia (a cielo aperto) delle meningi cerebrali, NAS"]
01.12.10;["Biopsia stereotassica mediante craniotomia (a cielo aperto) delle meningi cerebrali"];Applicazione di cornice stereotassica (al capo) (93.59)
01.12.99;["Biopsia mediante craniotomia (a cielo aperto) delle meningi cerebrali, altro"]
01.13;["Biopsia chiusa [percutanea] [agobiopsia] di lesione cerebrale"];Mediante foro di trapanazione
01.13.10;["Biopsia stereotassica chiusa [percutanea] [agobiopsia] di lesione cerebrale"];Applicazione di cornice stereotassica (al capo) (93.59)
01.13.99;["Biopsia chiusa [percutanea] [agobiopsia] di lesione cerebrale, altro"]
01.14.0;["Dettaglio della sottocategoria 01.14"]
01.14.10;["Biopsia stereotassica a cielo aperto del cervello"];Applicazione di cornice stereotassica (al capo) (93.59)
01.14.99;["Biopsia a cielo aperto del cervello, altro"]
01.15;["Biopsia del cranio"]
01.16;["Monitoraggio dell'ossigenazione intracranica"];Pressione parziale dell'ossigeno nei tessuti cerebrali (PbtO2);Inserzione di catetere o sonda per monitoraggio
01.17;["Monitoraggio della temperatura cerebrale"];Inserzione di catetere o sonda per monitoraggio
01.18.00;["Altre procedure diagnostiche sul cervello e sulle meningi cerebrali, NAS"]
01.18.10;["Biopsia chiusa di vaso sanguigno intracranico"]
01.18.11;["Biopsia stereotassica chiusa di vaso sanguigno intracranico"];Applicazione di cornice stereotassica (al capo) (93.59)
01.18.19;["Biopsia chiusa di vaso sanguigno intracranico, altro"]
01.18.20;["Biopsia a cielo aperto di vaso sanguigno intracranico"]
01.18.21;["Biopsia stereotassica a cielo aperto di vaso sanguigno intracranico"];Applicazione di cornice stereotassica (al capo) (93.59)
01.18.29;["Biopsia a cielo aperto di vaso sanguigno intracranico, altro"]
01.18.99;["Altre procedure diagnostiche sul cervello e sulle meningi cerebrali, altro"]
01.19;["Altre procedure diagnostiche sul cranio"]
01.2;["Craniotomia e craniectomia"]
01.21;["Incisione e drenaggio dei seni cranici"]
01.22;["Rimozione di elettrodo(i) di neurostimolatore intracranico"];Ogni rimozione di generatore d'impulsi di un neurostimolatore (86.05)
01.23;["Riapertura di pregressa craniotomia"]
01.23.00;["Riapertura di pregressa craniotomia, NAS"]
01.23.10;["Riapertura di pregressa craniotomia con inserzione di drenaggio"]
01.23.20;["Riapertura di pregressa craniotomia con rimozione di materiale alloplastico o di sistema di somministrazione farmacologica dalle ossa del cranio"]
01.23.21;["Riapertura di pregressa craniotomia con rimozione di materiale alloplastico o di sistema di somministrazione farmacologica dallo spazio epidurale"]
01.23.29;["Riapertura di pregressa craniotomia con rimozione di altro materiale"]
01.23.99;["Riapertura di pregressa craniotomia, altro"]
01.24;["Altra craniotomia"];Craniotomia con rimozione d'ascesso epidurale;Craniotomia con rimozione di ematoma extradurale;Decompressione cranica;Esplorazione cranica;Trapanazione cranica
01.24.00;["Altra craniotomia, NAS"]
01.24.10;["Altra craniotomia con decompressione"]
01.24.11;["Altra craniotomia per evacuazione di ematoma epidurale"]
01.24.12;["Altra craniotomia per evacuazione di empiema epidurale"]
01.24.13;["Altra craniotomia, Inserzione di materiale alloplastico o di sistema di somministrazione farmacologica nelle ossa del cranio o nello spazio epidurale"]
01.24.14;["Altra craniotomia, rimozione di materiale alloplastico o di sistema di somministrazione farmacologica dalle ossa del cranio o dallo spazio epidurale"]
01.24.15;["Altra craniotomia, Rimozione di corpo estraneo dalle ossa del cranio o dallo spazio epidurale"]
01.24.16;["Altra craniotomia, altro drenaggio di liquido epidurale o per altri motivi"]
01.24.2;["Approccio chirurgico attraverso la calotta"];La rispettiva misura diagnostica o terapeutica, a condizione che l'approccio chirurgico non sia già incluso nel codice.
01.24.20;["Craniotomia della calotta quale approccio chirurgico, NAS"]
01.24.21;["Trapanazione della calotta quale approccio chirurgico"]
01.24.22;["Apertura del cranio guidata da stereotassi attraverso la calotta quale approccio chirurgico"]
01.24.29;["Craniotomia della calotta quale approccio chirurgico, altro"]
01.24.3;["Approccio attraverso la base del cranio"];Da usare solo per indicare la via d'approccio nel quadro di un intervento chirurgico.
01.24.30;["Approccio attraverso la base del cranio, NAS"]
01.24.32;["Approccio attraverso la base del cranio, transorale con scissione del palato molle"]
01.24.33;["Approccio attraverso la base del cranio, transorale con scissione del palato molle e duro"]
01.24.34;["Approccio attraverso la base del cranio, transfenoidale"]
01.24.35;["Approccio attraverso la base del cranio, transetmoidale"]
01.24.36;["Approccio attraverso la base del cranio, transmastoideo"]
01.24.37;["Approccio attraverso la base del cranio, translabirintico"]
01.24.38;["Approccio attraverso la base del cranio, transpiramidale"]
01.24.39;["Approccio attraverso la base del cranio, altro"]
01.24.3A;["Approccio attraverso la base del cranio, transcondilico"]
01.24.3B;["Approccio attraverso la base del cranio, transorbitale"]
01.24.3C;["Approccio attraverso la base del cranio, con osteotomia tipo Le Fort I"]
01.25;["Altra craniectomia"];Debridement delle parti molli e dell'osso a livello del cranio, NAS;Rimozione di sequestri ossei
01.25.0;["Dettaglio della sottocategoria 01.25"]
01.25.10;["Altra craniectomia con decompressione"]
01.25.11;["Altra craniectomia per evacuazione di ematoma epidurale"]
01.25.12;["Altra craniectomia per evacuazione di empiema epidurale"]
01.25.13;["Altra craniectomia per rimozione di corpo estraneo dalle ossa del cranio o dallo spazio epidurale"]
01.25.14;["Altra craniectomia, Inserzione di materiale alloplastico o di sistema di somministrazione farmacologica nelle ossa del cranio o nello spazio epidurale"]
01.25.19;["Altra craniectomia, per drenaggio di liquido epidurale o per altri motivi"]
01.25.20;["Altra craniectomia, Nuova craniectomia con inserzione di drenaggio"]
01.25.21;["Altra craniectomia, Nuova craniectomia per rimozione di materiale alloplastico o di sistema di somministrazione farmacologica dalle ossa del cranio o dallo spazio epidurale"]
01.25.99;["Altra craniectomia, altro"]
01.26;["Inserzione e sostituzione di catetere nella cavità cranica o nel tessuto cerebrale"];Ogni intervento simultaneo (ad esempio: asportazione o distruzione 01.59)
01.27;["Rimozione di catetere dalla cavità cranica"]
01.27.00;["Rimozione di catetere(i) dalla cavità cranica o dal tessuto cerebrale, NAS"]
01.27.10;["Rimozione di catetere intracerebrale per infusione intraventricolare"]
01.27.99;["Rimozione di catetere(i) dalla cavità cranica o dal tessuto cerebrale, altro"]
01.29;["Revisione (senza sostituzione) di catetere(i) nella cavità cranica o nel tessuto cerebrale"]
01.29.00;["Revisione (senza sostituzione) di catetere(i) nella cavità cranica o nel tessuto cerebrale, NAS"]
01.29.10;["Revisione stereotassica (senza sostituzione) di cateteri intracerebrali per infusione intraventricolare"]
01.29.99;["Revisione (senza sostituzione) di catetere(i) nella cavità cranica o nel tessuto cerebrale, altro"]
01.3;["Incisione cerebrale e delle meningi"]
01.31.10;["Incisione delle meningi cerebrali per evacuazione di ematoma (igroma) subdurale"]
01.31.11;["Incisione delle meningi cerebrali per evacuazione di empiema subdurale"]
01.31.20;["Incisione delle meningi cerebrali per drenaggio di liquido subdurale e subaracnoideo"]
01.31.99;["Incisione delle meningi cerebrali, altro"]
01.32;["Lobotomia e trattotomia"];Cingolotomia percutanea (a radiofrequenza);Divisione di fasci cerebrali;Divisione di tessuto cerebrale
01.32.20;["Lobotomia e trattotomia, Interruzione stereotassica di sistemi di vie encefaliche"];Applicazione di cornice stereotassica (al capo) (93.59)
01.39.11;["Altre incisioni cerebrali per evacuazione di ascesso intracerebrale"]
01.39.19;["Altre incisioni cerebrali, evacuazione di altro liquido intracerebrale"]
01.39.20;["Altre incisioni cerebrali, Evacuazione stereotassica di ematoma intracranico"];Applicazione di cornice stereotassica (al capo) (93.59)
01.39.21;["Altre incisioni cerebrali, Evacuazione stereotassica di ascesso intracranico"];Applicazione di cornice stereotassica (al capo) (93.59)
01.39.29;["Altre incisioni cerebrali, Evacuazione stereotassica di altro liquido intracranico"];Applicazione di cornice stereotassica (al capo) (93.59)
01.39.30;["Altre incisioni cerebrali, Rimozione di corpo estraneo intracerebrale"]
01.39.40;["Inserzione di drenaggio esterno nel sistema liquorale (es. ventricolare, cisternale, subdurale)"]
01.39.41;["Inserzione di serbatoio nel sistema liquorale (es. ventricolare, cisternale, subdurale)"]
01.39.42;["Rimozione di serbatoio dal sistema liquorale (es. ventricolare, cisternale, subdurale)"]
01.39.50;["Rimozione di impianto intracranico"];Es. pompa di infusione totalmente impiantabile per infusione intraventricolare, neuroprotesi intracranica o sonda di misura intracranica
01.4;["Interventi sul talamo e sul globo pallido"]
01.41;["Interventi sul talamo"];Chemotalamectomia;Talamotomia
01.42;["Interventi sul globo pallido"];Pallidoansectomia;Pallidotomia
01.5;["Altre asportazioni o altri interventi di distruzione sul cervello e sulle meningi cerebrali"]
01.51;["Asportazione di lesione o di tessuto delle meningi cerebrali"];Decorticazione;Resezione;Stripping di membrane sottodurali delle meningi cerebrali
01.51.00;["Asportazione di lesione o di tessuto delle meningi cerebrali, NAS"]
01.51.10;["Asportazione di tessuto tumorale dalle meningi cerebrali con isolamento di tessuto adiacente infiltrato"]
01.51.99;["Asportazione di lesione o di tessuto delle meningi cerebrali, altro"]
01.52;["Emisferectomia"]
01.52.0;["Dettaglio della sottocategoria 01.52"]
01.52.00;["Emisferectomia, NAS"]
01.52.11;["Emisferectomia, tessuto tumorale intracerebrale di origine extracerebrale"]
01.52.99;["Emisferectomia, altro"]
01.53;["Lobectomia cerebrale"]
01.53.10;["Lobectomia cerebrale, tessuto tumorale intracerebrale di origine cerebrale"]
01.59;["Altra asportazione o distruzione di lesione o di tessuto cerebrale"];Asportazione di tumore cerebrale per via transmastoidea, transtemporale;Curetage cerebrale;Marsupializzazione di cisti cerebrale
01.59.00;["Altra asportazione o distruzione di lesione o di tessuto cerebrale, NAS"]
01.59.10;["Altra asportazione di tessuto tumorale intracerebrale di origine cerebrale"]
01.59.11;["Altra asportazione di tessuto tumorale intracerebrale di origine extracerebrale"]
01.59.12;["Altra asportazione o distruzione di lesione o di tessuto cerebrale, Sbrigliamento di contusione cerebrale"]
01.59.19;["Altra asportazione o distruzione di lesione o di tessuto cerebrale, altro"]
01.59.20;["Altra distruzione di tessuto tumorale intracerebrale di origine cerebrale"]
01.59.21;["Altra distruzione di tessuto tumorale intracerebrale di origine extracerebrale"]
01.59.29;["Altra distruzione di lesione o di tessuto cerebrale, altro"]
01.59.99;["Altra asportazione o distruzione di lesione o di tessuto cerebrale, altro"]
01.6X;["Asportazione e distruzione di lesione dal cranio"];Asportazione di lesioni dal cranio osseo e dalle meningi cerebrali
01.6X.0;["Dettaglio della sottocategoria 01.6X"]
01.6X.00;["Asportazione e distruzione di lesioni dal cranio, NAS"]
01.6X.10;["Asportazione e distruzione di tessuto tumorale dalla base del cranio"]
01.6X.11;["Asportazione e distruzione di tessuto tumorale dalla calotta"]
01.6X.20;["Asportazione e distruzione di altro tessuto patologico dalla base del cranio"]
01.6X.21;["Asportazione e distruzione di altro tessuto patologico dalla calotta"]
01.6X.22;["Asportazione e distruzione di altro tessuto patologico dalla base del cranio e dalla calotta con meningi cerebrali"]
01.6X.99;["Asportazione e distruzione di lesioni dal cranio, altro"]
02;["Altri interventi sul cranio, sul cervello e sulle meningi cerebrali"]
02.0;["Cranioplastica"]
02.01;["Apertura di suture del cranio"];Craniectomia lineare;Craniectomia lineare allargata
02.02;["Riposizionamento di frammenti di frattura affossata del cranio"];Debridement di frattura comminuta aperta del cranio;Decompressione di frattura affossata del cranio;Riduzione di frattura del cranio;Eventuale sincrono trattamento di lacerazione cerebrale (01.59)
02.03;["Formazione di opercoli cranici"];Riparazione del cranio con opercolo osseo
02.04;["Innesto osseo sul cranio"];Trapianto pericranico autogeno o eterogeno
